what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332505742340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505743171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505747041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505750499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505752223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505753339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505756205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505758962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505799067
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1332505801952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1332505802083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332505802315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505802887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505808771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505814552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505816887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505817418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505821969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332505823822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332505824630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505825190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332505841206
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332505849994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332505850187
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1332505850545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332505851054
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332505851560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332505862730
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332505863165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1332505870908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332505882222
