127.0.0.1 - - [20/Mar/2012:09:14:56 -0300] "GET /MySpaceShip/js/othercomps.js?_=1332245696907 HTTP/1.1" 200 537
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/formlayoutajax.html HTTP/1.1" 200 2124
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/css/mainlayout.css HTTP/1.1" 200 1492
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/css/formlayout.css HTTP/1.1" 200 1360
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/css/jquery-ui/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 200 33425
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/js/libs/css3-mediaqueries.js HTTP/1.1" 200 16018
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/js/libs/autonumeric-1.7.4.js HTTP/1.1" 200 33357
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/js/libs/jquery-1.7.1.min.js HTTP/1.1" 200 93868
127.0.0.1 - - [20/Mar/2012:09:14:58 -0300] "GET /MySpaceShip/js/libs/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 200 210423
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /MySpaceShip/images/ship1.jpg HTTP/1.1" 200 1846
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /MySpaceShip/images/ship4.jpg HTTP/1.1" 200 1044
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /MySpaceShip/images/ship3.jpg HTTP/1.1" 200 1501
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /MySpaceShip/images/ship2.jpg HTTP/1.1" 200 1738
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /MySpaceShip/images/ship5.jpg HTTP/1.1" 200 1051
127.0.0.1 - - [20/Mar/2012:09:14:59 -0300] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [20/Mar/2012:09:15:00 -0300] "GET /MySpaceShip/js/othercomps.js?_=1332245700309 HTTP/1.1" 200 537
127.0.0.1 - - [20/Mar/2012:09:15:00 -0300] "GET /MySpaceShip/images/calendar.gif HTTP/1.1" 200 269
127.0.0.1 - - [20/Mar/2012:09:15:08 -0300] "GET /MySpaceShip/articles/js/othercomps.js HTTP/1.1" 404 1066
